gene_identifier	macM	macF	mouse	pig	human
gene_83	SLAIN1	SLAIN1	Slain1	SLAIN1	SLAIN1
gene_84	DEFB115	DEFB115	Defb28	DEFB115	DEFB115
gene_85	MED15	MED15	Med15	MED15	MED15
gene_86	TP53INP2	TP53INP2	Trp53inp2	TP53INP2	TP53INP2
gene_87	JAG1	JAG1	Jag1	JAG1	JAG1
gene_88	SLC23A2	SLC23A2	Slc23a2	SLC23A2	SLC23A2
gene_89	NHLRC3	NHLRC3	Nhlrc3	NHLRC3	NHLRC3
gene_90	OSBP2	OSBP2	Osbp2	OSBP2	OSBP2
gene_91	CXADR	CXADR	Cxadr	CXADR	CXADR
gene_92	OLFM4	OLFM4	Olfm4	OLFM4	OLFM4
gene_93	IPO5	IPO5	Ipo5	IPO5	IPO5
gene_94	TASP1	TASP1	Tasp1	TASP1	TASP1
gene_95	NANP	NANP	Nanp	NANP	NANP
gene_96	RWDD2B	RWDD2B	Rwdd2b	RWDD2B	RWDD2B
gene_97	CTNNBL1	CTNNBL1	Ctnnbl1	CTNNBL1	CTNNBL1
gene_98	DIAPH3	DIAPH3	Diaph3	DIAPH3	DIAPH3
gene_99	SOGA1	SOGA1	Soga1	SOGA1	SOGA1
gene_100	VPREB3	VPREB3	Vpreb3	VPREB3	VPREB3
gene_101	WFDC10A	WFDC10A	Wfdc10	WFDC10A	WFDC10A
gene_102	SYN3	SYN3	Syn3	SYN3	SYN3
gene_103	URB1	URB1	Urb1	URB1	URB1
gene_104	KIAA1755	KIAA1755	D630003M21Rik	KIAA1755	KIAA1755
gene_105	OSM	OSM	Osm	OSM	OSM
gene_106	JAM2	JAM2	Jam2	JAM2	JAM2
gene_107	DHX35	DHX35	Dhx35	DHX35	DHX35
gene_108	USP16	USP16	Usp16	USP16	USP16
gene_109	HORMAD2	HORMAD2	Hormad2	HORMAD2	HORMAD2
gene_110	FBXO7	FBXO7	Fbxo7	FBXO7	FBXO7
gene_111	PCDH17	PCDH17	Pcdh17	PCDH17	PCDH17
gene_112	EDNRB	EDNRB	Ednrb	EDNRB	EDNRB
gene_113	TOX2	TOX2	Tox2	TOX2	TOX2
gene_114	MRPS6	MRPS6	Mrps6	MRPS6	MRPS6
gene_115	NCF4	NCF4	Ncf4	NCF4	NCF4
gene_116	USP12	USP12	Usp12	USP12	USP12
gene_117	KRTAP24-1	KRTAP24-1	Krtap24-1	KRTAP24-1	KRTAP24-1
gene_118	EYA2	EYA2	Eya2	EYA2	EYA2
gene_119	WBP4	WBP4	Wbp4	WBP4	WBP4
gene_120	CHAF1B	CHAF1B	Chaf1b	CHAF1B	CHAF1B
gene_121	SERTM1	SERTM1	Sertm1	SERTM1	SERTM1
gene_122	SLC7A1	SLC7A1	Slc7a1	SLC7A1	SLC7A1
gene_123	SCAF4	SCAF4	Scaf4	SCAF4	SCAF4
gene_124	SLC15A1	SLC15A1	Slc15a1	SLC15A1	SLC15A1
gene_125	SFI1	SFI1	Sfi1	SFI1	SFI1
gene_126	ELMO2	ELMO2	Elmo2	ELMO2	ELMO2
gene_127	CCT8	CCT8	Cct8	CCT8	CCT8
gene_128	FOXO1	FOXO1	Foxo1	FOXO1	FOXO1
gene_129	COG3	COG3	Cog3	COG3	COG3
gene_130	LRCH1	LRCH1	Lrch1	LRCH1	LRCH1
gene_131	NCAM2	NCAM2	Ncam2	NCAM2	NCAM2
gene_132	GPR180	GPR180	Gpr180	GPR180	GPR180
gene_133	LTN1	LTN1	Ltn1	LTN1	LTN1
gene_134	CDADC1	CDADC1	Cdadc1	CDADC1	CDADC1
gene_135	CACNA1I	CACNA1I	Cacna1i	CACNA1I	CACNA1I
gene_136	TGM2	TGM2	Tgm2	TGM2	TGM2
gene_137	APP	APP	App	APP	APP
gene_138	RIPOR3	RIPOR3	Ripor3	RIPOR3	RIPOR3
gene_139	SPATA2	SPATA2	Spata2	SPATA2	SPATA2
gene_140	SLC2A10	SLC2A10	Slc2a10	SLC2A10	SLC2A10
gene_141	KCNB1	KCNB1	Kcnb1	KCNB1	KCNB1
gene_142	CDH22	CDH22	Cdh22	CDH22	CDH22
gene_143	RNF114	RNF114	Rnf114	RNF114	RNF114
gene_144	SLC35C2	SLC35C2	Slc35c2	SLC35C2	SLC35C2
gene_145	TNRC6B	TNRC6B	Tnrc6b	TNRC6B	TNRC6B
gene_146	DIS3	DIS3	Dis3	DIS3	DIS3
gene_147	PIK3IP1	PIK3IP1	Pik3ip1	PIK3IP1	PIK3IP1
gene_148	ISX	ISX	Isx	ISX	ISX
gene_149	MCAT	MCAT	Mcat	MCAT	MCAT
gene_150	EDEM2	EDEM2	Edem2	EDEM2	EDEM2
gene_151	LIMK2	LIMK2	Limk2	LIMK2	LIMK2
gene_152	CLDN8	CLDN8	Cldn8	CLDN8	CLDN8
gene_153	C21orf140	C21orf140	Fam243	C21orf140	C21orf140
gene_154	NCOA3	NCOA3	Ncoa3	NCOA3	NCOA3
gene_155	COG6	COG6	Cog6	COG6	COG6
gene_156	SLC5A1	SLC5A1	Slc5a1	SLC5A1	SLC5A1
gene_157	HUNK	HUNK	Hunk	HUNK	HUNK
gene_158	C3H21orf91	C21orf91	D16Ertd472e	C21orf91	C21orf91
gene_159	ENTHD1	ENTHD1	Enthd1	ENTHD1	ENTHD1
gene_160	LIF	LIF	Lif	LIF	LIF
gene_161	MORC3	MORC3	Morc3	MORC3	MORC3
gene_162	MRPS31	MRPS31	Mrps31	MRPS31	MRPS31
gene_163	FBLN1	FBLN1	Fbln1	FBLN1	FBLN1
gene_164	MEDAG	MEDAG	Medag	MEDAG	MEDAG
gene_165	COL4A2	COL4A2	Col4a2	COL4A2	COL4A2
gene_166	ASMT	ASMT	Asmt	ASMT	ASMT
gene_167	PAXBP1	PAXBP1	Paxbp1	PAXBP1	PAXBP1
gene_168	MC3R	MC3R	Mc3r	MC3R	MC3R
gene_169	BPI	BPI	Bpi	BPI	BPI
gene_170	PREX1	PREX1	Prex1	PREX1	PREX1
gene_171	CBX7	CBX7	Cbx7	CBX7	CBX7
gene_172	C3H21orf62	C21orf62	4932438H23Rik	C21orf62	C21orf62
gene_173	PNPLA3	PNPLA3	Pnpla3	PNPLA3	PNPLA3
gene_174	ITSN1	ITSN1	Itsn1	ITSN1	ITSN1
gene_175	PTGIS	PTGIS	Ptgis	PTGIS	PTGIS
gene_176	SLITRK6	SLITRK6	Slitrk6	SLITRK6	SLITRK6
gene_177	PCDH9	PCDH9	Pcdh9	PCDH9	PCDH9
gene_178	HCCS	HCCS	Hccs	HCCS	HCCS
gene_179	PLCB1	PLCB1	Plcb1	PLCB1	PLCB1
gene_180	TBC1D22A	TBC1D22A	Tbc1d22a	TBC1D22A	TBC1D22A
gene_181	DNAJC3	DNAJC3	Dnajc3	DNAJC3	DNAJC3
gene_182	SRPX	SRPX	Srpx	SRPX	SRPX
gene_183	C17H13orf46	C13orf46	1700029H14Rik	C13orf46	C13orf46
gene_184	GRPR	GRPR	Grpr	GRPR	GRPR
gene_185	TMEM47	TMEM47	Tmem47	TMEM47	TMEM47
gene_186	PHF21B	PHF21B	Phf21b	PHF21B	PHF21B
gene_187	SMPX	SMPX	Smpx	SMPX	SMPX
gene_188	CNKSR2	CNKSR2	Cnksr2	CNKSR2	CNKSR2
gene_189	ZMYM5	ZMYM5	Zmym5	ZMYM5	ZMYM5
gene_190	TEX26	TEX26	Tex26	TEX26	TEX26
gene_191	UPK3A	UPK3A	Upk3a	UPK3A	UPK3A
gene_192	CBLN4	CBLN4	Cbln4	CBLN4	CBLN4
gene_193	ATP9A	ATP9A	Atp9a	ATP9A	ATP9A
gene_194	COL4A1	COL4A1	Col4a1	COL4A1	COL4A1
gene_195	RALY	RALY	Raly	RALY	RALY
gene_196	GTSE1	GTSE1	Gtse1	GTSE1	GTSE1
gene_197	CFAP61	CFAP61	Cfap61	CFAP61	CFAP61
gene_198	EIF4ENIF1	EIF4ENIF1	Eif4enif1	EIF4ENIF1	EIF4ENIF1
gene_199	SNAI1	SNAI1	Snai1	SNAI1	SNAI1
gene_200	ATP4B	ATP4B	Atp4b	ATP4B	ATP4B
gene_201	SLC17A9	SLC17A9	Slc17a9	SLC17A9	SLC17A9
gene_202	STOML3	STOML3	Stoml3	STOML3	STOML3
gene_203	ANKRD10	ANKRD10	Ankrd10	ANKRD10	ANKRD10
gene_204	WNT7B	WNT7B	Wnt7b	WNT7B	WNT7B
gene_205	OTC	OTC	Otc	OTC	OTC
gene_206	NALF1	NALF1	Nalf1	NALF1	NALF1
gene_207	SAMM50	SAMM50	Samm50	SAMM50	SAMM50
gene_208	SYTL5	SYTL5	Sytl5	SYTL5	SYTL5
gene_209	TMEM255B	TMEM255B	Tmem255b	TMEM255B	TMEM255B
gene_210	PCID2	PCID2	Pcid2	PCID2	PCID2
gene_211	GLRA2	GLRA2	Glra2	GLRA2	GLRA2
gene_212	PSMA7	PSMA7	Psma7	PSMA7	PSMA7
gene_213	TTC38	TTC38	Ttc38	TTC38	TTC38
gene_214	ADGRG2	ADGRG2	Adgrg2	ADGRG2	ADGRG2
gene_215	SLC25A17	SLC25A17	Slc25a17	SLC25A17	SLC25A17
gene_216	CLDN14	CLDN14	Cldn14	CLDN14	CLDN14
gene_217	KCNJ6	KCNJ6	Kcnj6	KCNJ6	KCNJ6
gene_218	PCCA	PCCA	Pcca	PCCA	PCCA
gene_219	CHODL	CHODL	Chodl	CHODL	CHODL
gene_220	TTLL12	TTLL12	Ttll12	TTLL12	TTLL12
gene_221	BACH1	BACH1	Bach1	BACH1	BACH1
gene_222	TUBGCP3	TUBGCP3	Tubgcp3	TUBGCP3	TUBGCP3
gene_223	ETS2	ETS2	Ets2	ETS2	ETS2
gene_224	RBBP8NL	RBBP8NL	Rbbp8nl	RBBP8NL	RBBP8NL
gene_225	YWHAH	DEPDC5	Depdc5	DEPDC5	DEPDC5
gene_226	GID8	GID8	Gid8	GID8	GID8
gene_227	GRK1	GRK1	Grk1	GRK1	GRK1
gene_228	PMEPA1	PMEPA1	Pmepa1	PMEPA1	PMEPA1
gene_229	OBI1	OBI1	Obi1	OBI1	OBI1
gene_230	IDH3B	IDH3B	Idh3b	IDH3B	IDH3B
gene_231	F10	F10	F10	F10	F10
gene_232	GPC5	GPC5	Gpc5	GPC5	GPC5
gene_233	KCNJ15	KCNJ15	Kcnj15	KCNJ15	KCNJ15
gene_234	MCF2L	MCF2L	Mcf2l	MCF2L	MCF2L
gene_235	RAI2	RAI2	Rai2	RAI2	RAI2
gene_236	VSTM2L	VSTM2L	Vstm2l	VSTM2L	VSTM2L
gene_237	CTPS2	CTPS2	Ctps2	CTPS2	CTPS2
gene_238	CRYZL1	CRYZL1	Cryzl1	CRYZL1	CRYZL1
gene_239	SOX18	SOX18	Sox18	SOX18	SOX18
gene_240	ACSS1	ACSS1	Acss1	ACSS1	ACSS1
gene_241	S100G	S100G	S100g	S100G	S100G
gene_242	RP2	RP2	Rp2	RP2	RP2
gene_243	N6AMT1	N6AMT1	N6amt1	N6AMT1	N6AMT1
gene_244	DOK5	DOK5	Dok5	DOK5	DOK5
gene_245	NRIP1	NRIP1	Nrip1	NRIP1	NRIP1
gene_246	B4GALT5	B4GALT5	B4galt5	B4GALT5	B4GALT5
gene_247	SCML2	SCML2	Scml2	SCML2	SCML2
gene_248	ZFP64	ZFP64	Zfp64	ZFP64	ZFP64
gene_249	ADAMTS5	ADAMTS5	Adamts5	ADAMTS5	ADAMTS5
gene_250	RASA3	RASA3	Rasa3	RASA3	RASA3
gene_251	EFHC2	EFHC2	Efhc2	EFHC2	EFHC2
gene_252	mml-mir-155	MIR155	Mir155	ssc-mir-155	MIR155
gene_253	MED14	MED14	Med14	MED14	MED14
gene_254	C2CD2	C2CD2	C2cd2	C2CD2	C2CD2
gene_255	ARL11	ARL11	Arl11	ARL11	ARL11
gene_256	GPC6	GPC6	Gpc6	GPC6	GPC6
gene_257	UCKL1	UCKL1	Uckl1	UCKL1	UCKL1
gene_258	CUL4A	CUL4A	Cul4a	CUL4A	CUL4A
gene_259	BLCAP	BLCAP	Blcap	BLCAP	BLCAP
gene_260	ZBTB21	ZBTB21	Zbtb21	ZBTB21	ZBTB21
gene_261	SALL4	SALL4	Sall4	SALL4	SALL4
gene_262	CHST7	CHST7	Chst7	CHST7	CHST7
gene_263	BMP7	BMP7	Bmp7	BMP7	BMP7
gene_264	USP27X	USP27X	Usp27x	USP27X	USP27X
gene_265	CLCN5	CLCN5	Clcn5	CLCN5	CLCN5
gene_266	TTI1	TTI1	Tti1	TTI1	TTI1
gene_267	SCP2D1	SCP2D1	Scp2d1	SCP2D1	SCP2D1
gene_268	CDH4	CDH4	Cdh4	CDH4	CDH4
gene_269	FLT3	FLT3	Flt3	FLT3	FLT3
gene_270	EVA1C	EVA1C	Eva1c	EVA1C	EVA1C
gene_271	PTCHD1	PTCHD1	Ptchd1	PTCHD1	PTCHD1
gene_272	SYAP1	SYAP1	Syap1	SYAP1	SYAP1
gene_273	ARGLU1	ARGLU1	Arglu1	ARGLU1	ARGLU1
gene_274	FARP1	FARP1	Farp1	FARP1	FARP1
gene_275	CDKL5	CDKL5	Cdkl5	CDKL5	CDKL5
gene_276	CFAP298	CFAP298	Cfap298	CFAP298	CFAP298
gene_277	RPS21	RPS21	Rps21	RPS21	RPS21
gene_278	DNAJC5	DNAJC5	Dnajc5	DNAJC5	DNAJC5
gene_279	BTG3	BTG3	Btg3	BTG3	BTG3
gene_280	TFAP2C	TFAP2C	Tfap2c	TFAP2C	TFAP2C
gene_281	ERCC6L	ERCC6L	Ercc6l	ERCC6L	ERCC6L
gene_282	FAM216B	FAM216B	Fam216b	FAM216B	FAM216B
gene_283	SS18L1	SS18L1	Ss18l1	SS18L1	SS18L1
gene_284	NOP56	NOP56	Nop56	NOP56	NOP56
gene_285	MRPL39	MRPL39	Mrpl39	MRPL39	MRPL39
gene_286	SNORD102	SNORD102	Gm25091	SNORD102	SNORD102
gene_287	NDP	NDP	Ndp	NDP	NDP
gene_288	U6	U6	Gm26245	U6	RNU6-60P
gene_289	DYNLT3	DYNLT3	Dynlt3	DYNLT3	DYNLT3
gene_290	SAMSN1	SAMSN1	Samsn1	SAMSN1	SAMSN1
gene_291	mml-mir-17	MIR17	Mir17	ssc-mir-17	MIR17
gene_292	MIR18A	MIR18A	Mir18	ssc-mir-18a	MIR18A
gene_293	mml-mir-19a	MIR19A	Mir19a	ssc-mir-19a	MIR19A
gene_294	SNORD31	SNORD31	Gm23246	SNORD31	SNORD31B
gene_295	AKAP4	AKAP4	Akap4	AKAP4	AKAP4
gene_296	AK3	AK3	Ak3	AK3	AK3
gene_297	ITM2B	ITM2B	Itm2b	ITM2B	ITM2B
gene_298	MAOB	MAOB	Maob	MAOB	MAOB
gene_299	TRIM13	TRIM13	Trim13	TRIM13	TRIM13
gene_300	NFATC2	NFATC2	Nfatc2	NFATC2	NFATC2
gene_301	SIM2	SIM2	Sim2	SIM2	SIM2
gene_302	VSIG4	VSIG4	Vsig4	VSIG4	VSIG4
gene_303	DIP2C	DIP2C	Dip2c	DIP2C	DIP2C
gene_304	CLDN23	CLDN23	Cldn23	CLDN23	CLDN23
gene_305	KCNRG	KCNRG	Kcnrg	KCNRG	KCNRG
gene_306	MIR15A	MIR15A	Mir15a	MIR15A	MIR15A
gene_307	PPP1R3B	PPP1R3B	Ppp1r3b	PPP1R3B	PPP1R3B
gene_308	RNASEH2B	RNASEH2B	Rnaseh2b	RNASEH2B	RNASEH2B
gene_309	PDGFRL	PDGFRL	Pdgfrl	PDGFRL	PDGFRL
gene_310	RRP1B	RRP1B	Rrp1b	RRP1B	RRP1B
gene_311	JADE3	JADE3	Jade3	JADE3	JADE3
gene_312	TNKS	TNKS	Tnks	TNKS	TNKS
gene_313	CDC37L1	CDC37L1	Cdc37l1	CDC37L1	CDC37L1
gene_314	NOVA1	NOVA1	Nova1	NOVA1	NOVA1
gene_315	PDXK	PDXK	Pdxk	PDXK	PDXK
gene_316	FOXR2	FOXR2	Foxr2	FOXR2	FOXR2
gene_317	SLC9A7	SLC9A7	Slc9a7	SLC9A7	SLC9A7
gene_318	INSL6	INSL6	Insl6	INSL6	INSL6
gene_319	KIAA2026	KIAA2026	9930021J03Rik	KIAA2026	KIAA2026
gene_320	TUBAL3	TUBAL3	Tubal3	TUBAL3	TUBAL3
gene_321	SYCP2	SYCP2	Sycp2	SYCP2	SYCP2
gene_322	SLC1A1	SLC1A1	Slc1a1	SLC1A1	SLC1A1
gene_323	MAGEH1	MAGEH1	Mageh1	MAGEH1	MAGEH1
gene_324	LONRF1	LONRF1	Lonrf1	LONRF1	LONRF1
gene_325	ECHDC3	ECHDC3	Echdc3	ECHDC3	ECHDC3
gene_326	NUBPL	NUBPL	Nubpl	NUBPL	NUBPL
gene_327	CNTLN	CNTLN	Cntln	CNTLN	CNTLN
gene_328	DENND6B	DENND6B	Dennd6b	DENND6B	DENND6B
gene_329	CDC123	CDC123	Cdc123	CDC123	CDC123
gene_330	PIR	PIR	Pir	PIR	PIR
gene_331	CSTB	CSTB	Cstb	CSTB	CSTB
gene_332	RRP1	RRP1	Rrp1	RRP1	RRP1
gene_333	TMEM215	TMEM215	Tmem215	TMEM215	TMEM215
gene_334	SNX6	SNX6	Snx6	SNX6	SNX6
gene_335	ATXN10	ATXN10	Atxn10	ATXN10	ATXN10
gene_336	HAUS6	HAUS6	Haus6	HAUS6	HAUS6
gene_337	SEPHS1	SEPHS1	Sephs1	SEPHS1	SEPHS1
gene_338	CYSLTR1	CYSLTR1	Cysltr1	CYSLTR1	CYSLTR1
gene_339	FAM118A	FAM118A	Fam118a	FAM118A	FAM118A
gene_340	PEBP4	PEBP4	Pebp4	PEBP4	PEBP4
gene_341	ATP6AP2	ATP6AP2	Atp6ap2	ATP6AP2	ATP6AP2
gene_342	SMU1	SMU1	Smu1	SMU1	SMU1
gene_343	KLF6	KLF6	Klf6	KLF6	KLF6
gene_344	ICE1	ICE1	Ice1	ICE1	ICE1
gene_345	SMC1B	SMC1B	Smc1b	SMC1B	SMC1B
gene_346	TXNDC16	TXNDC16	Txndc16	TXNDC16	TXNDC16
gene_347	XKR5	XKR5	Xkr5	XKR5	XKR5
gene_348	LSM14B	LSM14B	Lsm14b	LSM14B	LSM14B
gene_349	ATP5F1C	ATP5F1C	Atp5c1	ATP5F1C	ATP5F1C
gene_350	PRSS51	PRSS51	Prss51	PRSS51	PRSS51
gene_351	CERK	CERK	Cerk	CERK	CERK
gene_352	ADAMTS16	ADAMTS16	Adamts16	ADAMTS16	ADAMTS16
gene_353	PHACTR3	PHACTR3	Phactr3	PHACTR3	PHACTR3
gene_354	PSIP1	PSIP1	Psip1	PSIP1	PSIP1
gene_355	GFRA2	GFRA2	Gfra2	GFRA2	GFRA2
gene_356	PPP6R2	PPP6R2	Ppp6r2	PPP6R2	PPP6R2
gene_357	TRAPPC10	TRAPPC10	Trappc10	TRAPPC10	TRAPPC10
gene_358	PTGDR	PTGDR	Ptgdr	PTGDR	PTGDR
gene_359	FASTKD3	FASTKD3	Fastkd3	FASTKD3	FASTKD3
gene_360	DLC1	DLC1	Dlc1	DLC1	DLC1
gene_361	FERMT2	FERMT2	Fermt2	FERMT2	FERMT2
gene_362	ADCY2	ADCY2	Adcy2	ADCY2	ADCY2
gene_363	APTX	APTX	Aptx	APTX	APTX
gene_364	PWP2	PWP2	Pwp2	PWP2	PWP2
gene_365	ITIH2	ITIH2	Itih2	ITIH2	ITIH2
gene_366	DYRK1A	DYRK1A	Dyrk1a	DYRK1A	DYRK1A
gene_367	FAM124A	FAM124A	Fam124a	FAM124A	FAM124A
gene_368	MARCHF6	MARCHF6	Marchf6	MARCHF6	MARCHF6
gene_369	SLC16A2	SLC16A2	Slc16a2	SLC16A2	SLC16A2
gene_370	ZAR1L	ZAR1L	Zar1l	ZAR1L	ZAR1L
gene_371	DTD2	DTD2	Dtd2	DTD2	DTD2
gene_372	GATA5	GATA5	Gata5	GATA5	GATA5
gene_373	ZNF512B	ZNF512B	Zfp512b	ZNF512B	ZNF512B
gene_374	SGCZ	SGCZ	Sgcz	SGCZ	SGCZ
gene_375	ZCCHC13	ZCCHC13	Zcchc13	ZCCHC13	ZCCHC13
gene_376	FGD1	FGD1	Fgd1	FGD1	FGD1
gene_377	LBP	LBP	Lbp	LBP	LBP
gene_378	MFHAS1	MFHAS1	Mfhas1	MFHAS1	MFHAS1
gene_379	PRR14L	PRR14L	Prr14l	PRR14L	PRR14L
gene_380	FAM217B	FAM217B	Fam217b	FAM217B	FAM217B
gene_381	NUDT5	NUDT5	Nudt5	NUDT5	NUDT5
gene_382	RBL1	RBL1	Rbl1	RBL1	RBL1
gene_383	RTL6	RTL6	Rtl6	RTL6	RTL6
gene_384	FAM83F	FAM83F	Fam83f	FAM83F	FAM83F
gene_385	CNOT7	CNOT7	Cnot7	CNOT7	CNOT7
gene_386	KLF8	KLF8	Klf8	KLF8	KLF8
gene_387	PVALB	PVALB	Pvalb	PVALB	PVALB
gene_388	ROPN1L	ROPN1L	Ropn1l	ROPN1L	ROPN1L
gene_389	TRPC4	TRPC4	Trpc4	TRPC4	TRPC4
gene_390	CCDC3	CCDC3	Ccdc3	CCDC3	CCDC3
gene_391	LRRC9	LRRC9	Lrrc9	LRRC9	LRRC9
gene_392	RAB22A	RAB22A	Rab22a	RAB22A	RAB22A
gene_393	ALG12	ALG12	Alg12	ALG12	ALG12
gene_394	FGF16	FGF16	Fgf16	FGF16	FGF16
gene_395	KIN	KIN	Kin	KIN	KIN
gene_396	IRX4	IRX4	Irx4	IRX4	IRX4
gene_397	CITED1	HDAC8	Hdac8	HDAC8	HDAC8
gene_398	UPF2	UPF2	Upf2	UPF2	UPF2
gene_399	EGR3	EGR3	Egr3	EGR3	EGR3
gene_400	GPR137C	GPR137C	Gpr137c	GPR137C	GPR137C
gene_401	EBF2	EBF2	Ebf2	EBF2	EBF2
gene_402	PRDM15	PRDM15	Prdm15	PRDM15	PRDM15
gene_403	PCNX4	PCNX4	Pcnx4	PCNX4	PCNX4
gene_404	RPRD1B	RPRD1B	Rprd1b	RPRD1B	RPRD1B
gene_405	SEMA5A	SEMA5A	Sema5a	SEMA5A	SEMA5A
gene_406	SEZ6L	SEZ6L	Sez6l	SEZ6L	SEZ6L
